Obs,P Full,P Rank,P Points,P H2H,P Fav Surface,P Titles,P Best Rank,P Best Date,P ELO Rank,P ELO Points,P Seasons,P Backhand,P Handed,Player Win,Round,Tournament,Court
0,Andy Murray,258,200,2,Grass 31%,45,1,7/11/2016,4,2270,14,Two-handed,Right-handed,1,r1,AUS,H
1,Illya Marchenko,,,0,Hard 47%,,49,26-09-2016,,,10,Two-handed,Right-handed,0,r1,AUS,H
2,Andrey Rublev,68,760,1,Grass 25%,1,31,19-02-2018,63,1879,5,Two-handed,Right-handed,1,r1,AUS,H
3,Yen Hsun Lu,,,1,"Fast (H, G) 36%",,33,1/11/2010,,,16,Two-handed,Right-handed,0,r1,AUS,H
4,Alex De Minaur,31,1298,1,Hard 28%,,31,15-10-2018,44,1925,2,Two-handed,Right-handed,1,r1,AUS,H
5,Gerald Melzer,267,192,0,Clay 50%,,68,21-11-2016,156,1707,7,Two-handed,Left-handed,0,r1,AUS,H
6,Quentin Halys,128,444,0,Hard 35%,,102,5/2/2018,160,1690,4,Two-handed,Right-handed,0,r1,AUS,H
7,Sam Querrey,51,955,1,"Fast (H, G) 32%",10,11,26-02-2018,32,1970,13,Two-handed,Right-handed,1,r1,AUS,H
8,John Isner,10,3155,1,"Fast (H, G) 22%",14,8,16-07-2018,21,2042,12,Two-handed,Right-handed,1,r1,AUS,H
9,Konstantin Kravchuk,367,114,0,None 6%,,78,7/11/2016,,,9,Two-handed,Right-handed,0,r1,AUS,H
10,Guillermo Garcia Lopez,105,543,1,"Soft (Cl, G) 15%",5,23,21-02-2011,114,1792,16,One-handed,Right-handed,0,r1,AUS,H
11,Mischa Zverev,69,750,2,Grass 30%,1,25,24-07-2017,94,1825,12,Two-handed,Left-handed,1,r1,AUS,H
12,Malek Jaziri,45,1014,1,"Slow (H, Cl) 30%",,45,19-11-2018,84,1844,11,Two-handed,Right-handed,1,r1,AUS,H
13,Go Soeda,233,230,0,Carpet 68%,,47,23-07-2012,,,13,Two-handed,Right-handed,0,r1,AUS,H
14,Alexander Bublik,168,322,1,Hard 100%,,95,25-09-2017,143,1738,3,Two-handed,Right-handed,1,r1,AUS,H
15,Lucas Pouille,32,1245,0,All-Rounder 7%,5,10,19-03-2018,39,1944,6,Two-handed,Right-handed,0,r1,AUS,H
16,Tomas Berdych,71,715,1,Grass 12%,13,4,18-05-2015,19,2049,16,Two-handed,Right-handed,1,r1,AUS,H
17,Luca Vanni,162,337,0,Clay 46%,,100,11/5/2015,,,4,Two-handed,Right-handed,0,r1,AUS,H
18,Ryan Harrison,62,810,1,Hard 25%,1,40,17-07-2017,71,1871,10,Two-handed,Right-handed,1,r1,AUS,H
19,Nicolas Mahut,197,269,2,Grass 58%,4,37,5/5/2014,86,1838,19,One-handed,Right-handed,0,r1,AUS,H
20,Bjorn Fratangelo,136,421,0,Grass 31%,,99,6/6/2016,134,1752,4,Two-handed,Right-handed,0,r1,AUS,H
21,Noah Rubin,131,434,1,Hard 100%,,125,8/10/2018,130,1761,5,Two-handed,Right-handed,1,r1,AUS,H
22,Jurgen Melzer,330,133,1,All-Rounder 4%,5,8,18-04-2011,,,20,Two-handed,Left-handed,0,r1,AUS,H
23,Roger Federer,3,6420,4,Grass 35%,99,1,2/2/2004,3,2349,21,One-handed,Right-handed,1,r1,AUS,H
24,Albert Ramos,65,790,0,Clay 30%,1,17,8/5/2017,87,1836,9,Two-handed,Left-handed,0,r1,AUS,H
25,Lukas Lacko,115,514,2,"Fast (H, G) 40%",,44,14-01-2013,126,1773,13,Two-handed,Right-handed,1,r1,AUS,H
26,Marcel Granollers,97,598,0,Clay 14%,4,19,23-07-2012,110,1797,13,Two-handed,Right-handed,0,r1,AUS,H
27,Dudi Sela,256,204,2,"Fast (H, G) 48%",,29,20-07-2009,92,1829,14,One-handed,Right-handed,1,r1,AUS,H
28,Nicolas Almagro,,,5,Clay 32%,13,9,2/5/2011,,,16,One-handed,Right-handed,0,r1,AUS,H
